FALL	GESCHLECHT	FILLER	GENRE	LAENGE
1	maennlich	aehm	monolog	1014
2	weiblich	stille	monolog	1188
3	weiblich	stille	dialog	889
4	weiblich	aehm	dialog	265
5	maennlich	aeh	dialog	465
6	weiblich	aeh	dialog	1278
7	maennlich	stille	dialog	671
8	maennlich	aehm	monolog	1079
9	weiblich	aehm	monolog	643
10	maennlich	aehm	monolog	1165
11	weiblich	aeh	monolog	586
12	maennlich	aehm	dialog	1445
13	maennlich	aehm	dialog	1334
14	maennlich	aeh	dialog	868
15	maennlich	aehm	monolog	408
16	weiblich	aehm	dialog	522
17	maennlich	aeh	monolog	842
18	weiblich	aeh	dialog	1233
19	weiblich	stille	dialog	1539
20	weiblich	aehm	monolog	533
21	weiblich	stille	monolog	921
22	maennlich	aehm	monolog	797
23	weiblich	aehm	monolog	363
24	maennlich	aeh	dialog	516
25	maennlich	aeh	dialog	1354
26	maennlich	aeh	monolog	713
27	maennlich	aeh	dialog	674
28	maennlich	aeh	dialog	440
29	maennlich	stille	dialog	1307
30	maennlich	aeh	dialog	1559
31	maennlich	aeh	monolog	446
32	weiblich	stille	monolog	1186
33	maennlich	aeh	monolog	883
34	maennlich	stille	monolog	854
35	maennlich	aehm	monolog	799
36	maennlich	aeh	monolog	1469
37	weiblich	aeh	dialog	1081
38	weiblich	stille	dialog	786
39	maennlich	stille	monolog	550
40	weiblich	aeh	monolog	1526
41	maennlich	stille	dialog	1012
42	maennlich	aeh	dialog	1201
43	weiblich	aeh	dialog	1211
44	weiblich	aehm	dialog	1111
45	maennlich	aehm	monolog	1363
46	weiblich	stille	dialog	849
47	weiblich	aehm	dialog	703
48	maennlich	aeh	dialog	298
49	weiblich	aeh	dialog	820
50	weiblich	aehm	dialog	872
51	weiblich	stille	dialog	639
52	weiblich	aehm	dialog	1435
53	weiblich	aehm	dialog	1182
54	weiblich	stille	monolog	1096
55	weiblich	stille	monolog	1390
56	weiblich	stille	dialog	466
57	weiblich	stille	monolog	1130
58	maennlich	aehm	monolog	671
59	maennlich	stille	dialog	347
